No.,Season,Episode,Pot,P1.Decision,P1.Gender,P2.Decision,P2.Gender,P1.Outcome,P2.Outcome
1,1,1,"10,000.00",1,F,2,F,2,3
2,1,2,"23,625.00",1,F,2,F,2,3
3,1,3,597.5,2,M,2,F,4,4
4,1,4,"2,225.00",1,F,1,M,1,1
5,1,5,125.75,1,M,2,M,2,3
6,1,6,"50,500.00",1,F,2,M,2,3
7,1,7,"11,800.00",1,F,1,F,1,1
8,1,8,"11,872.00",2,F,2,F,4,4
9,1,9,"13,600.00",1,M,1,M,1,1
10,1,10,3,2,M,1,M,3,2
11,1,11,"1,796.00",2,M,2,F,4,4
12,1,12,293,1,M,1,F,1,1
13,1,13,"8,290.00",2,M,2,F,4,4
14,1,14,"23,315.00",1,M,2,F,2,3
15,1,15,66.25,1,F,2,F,2,3
16,1,16,"16,600.00",2,F,1,F,3,2
17,1,17,"5,160.00",2,F,2,M,4,4
18,1,18,"11,120.00",1,F,1,M,1,1
19,1,19,"20,130.00",1,F,1,M,1,1
20,1,20,"3,900.00",2,M,2,M,4,4
21,1,21,"1,815.00",1,M,2,M,2,3
22,1,22,"19,560.00",2,M,1,F,3,2
23,1,23,"4,188.00",1,F,2,F,2,3
24,1,24,"1,150.00",1,M,1,F,1,1
25,1,25,"1,560.00",1,M,1,F,1,1
26,1,26,"9,930.00",2,M,1,F,3,2
27,1,27,"30,185.00",1,F,2,F,2,3
28,1,28,"6,500.50",2,F,1,M,3,2
29,1,29,"7,710.00",1,M,2,F,2,3
30,1,30,455,2,M,2,F,4,4
31,1,31,"17,400.00",2,M,1,F,3,2
32,1,32,"7,903.00",1,F,1,M,1,1
33,1,33,"4,100.00",1,F,2,M,2,3
34,1,34,"3,730.00",2,M,2,M,4,4
35,1,35,"38,950.00",1,F,1,M,1,1
36,1,36,"61,060.00",1,F,2,F,2,3
37,1,37,31.5,1,F,1,F,1,1
38,1,38,"1,174.00",2,M,2,M,4,4
39,1,39,"54,050.00",2,F,2,M,4,4
40,1,40,"2,315.00",1,F,1,M,1,1
41,2,1,"3,730.00",2,M,2,F,4,4
42,2,2,100,2,M,2,M,4,4
43,2,3,"2,570.00",2,M,2,M,4,4
44,2,4,5.75,1,M,2,F,2,3
45,2,5,"2,510.00",2,F,2,M,4,4
46,2,6,"1,305.00",1,F,1,M,1,1
47,2,7,"35,605.00",1,M,1,F,1,1
48,2,8,"1,830.00",2,M,1,F,3,2
49,2,9,"1,225.00",1,M,2,F,2,3
50,2,10,"26,500.00",1,F,2,M,2,3
51,2,11,"10,450.00",1,M,2,F,2,3
52,2,12,262,1,F,1,M,1,1
53,2,13,"1,375.00",1,M,2,M,2,3
54,2,14,250.25,1,F,1,M,1,1
55,2,15,152,1,M,1,F,1,1
56,2,16,"3,492.50",2,F,1,M,3,2
57,2,17,"15,517.50",1,M,2,F,2,3
58,2,18,"1,250.00",1,F,1,F,1,1
59,2,19,"22,975.00",2,F,2,M,4,4
60,2,20,"1,250.00",2,M,1,F,3,2
61,2,21,66.5,2,F,1,M,3,2
62,2,22,"21,050.00",2,F,1,M,3,2
63,2,23,175,1,F,1,M,1,1
64,2,24,"3,775.00",1,F,1,F,1,1
65,2,25,"55,500.00",2,M,1,F,3,2
66,2,26,"9,659.00",1,F,2,F,2,3
67,2,27,"4,350.00",1,F,1,M,1,1
68,2,28,"40,015.00",2,M,1,F,3,2
69,2,29,"8,200.00",1,F,1,M,1,1
70,2,30,"1,752.00",1,F,2,M,2,3
71,2,31,"20,000.00",1,F,2,F,2,3
72,2,32,"12,540.00",2,F,1,F,3,2
73,2,33,"2,420.00",2,F,2,M,4,4
74,2,34,"66,885.00",2,M,2,F,4,4
75,2,35,"87,900.00",1,M,1,F,1,1
76,2,36,"1,079.00",1,F,1,M,1,1
77,2,37,"15,200.00",1,F,2,F,2,3
78,2,38,"20,375.00",1,M,2,F,2,3
79,2,39,"24,515.00",1,F,2,F,2,3
80,2,40,"1,049.00",2,F,1,F,3,2
81,2,41,"40,000.00",2,M,1,M,3,2
82,2,42,"15,395.00",2,M,2,M,4,4
83,2,43,"1,745.00",1,M,2,F,2,3
84,2,44,"2,285.00",2,F,1,F,3,2
85,2,45,"1,967.00",2,M,2,M,4,4
86,2,46,"100,150.00",1,M,2,F,2,3
87,2,47,"5,200.00",2,M,1,F,3,2
88,2,48,"2,031.00",1,F,2,F,2,3
89,2,49,256.75,1,F,1,M,1,1
90,2,50,25.5,1,M,1,F,1,1
91,2,51,"1,397.00",1,M,2,M,2,3
92,2,52,154.25,1,F,2,M,2,3
93,2,53,"20,700.00",1,F,2,F,2,3
94,2,54,163.5,2,F,1,M,3,2
95,2,55,"28,175.00",2,M,2,F,4,4
96,2,56,"93,250.00",1,F,2,F,2,3
97,2,57,159,1,F,2,M,2,3
98,2,58,"29,675.00",1,F,2,M,2,3
99,2,59,"2,710.00",1,M,1,M,1,1
100,2,60,"20,400.00",2,F,2,M,4,4
101,3,1,"10,089.00",2,M,2,F,4,4
102,3,2,"64,600.00",2,M,2,M,4,4
103,3,3,"84,420.00",1,F,1,F,1,1
104,3,4,110.5,1,F,1,F,1,1
105,3,5,"19,320.00",2,F,2,M,4,4
106,3,6,"12,200.00",1,F,2,M,2,3
107,3,7,"12,850.00",2,F,2,M,4,4
108,3,8,"7,960.00",2,F,2,M,4,4
109,3,9,"5,805.00",2,F,2,F,4,4
110,3,10,432,1,M,1,F,1,1
111,3,11,750,2,M,2,F,4,4
112,3,12,"1,690.00",2,F,1,M,3,2
113,3,13,"54,830.00",2,F,1,F,3,2
114,3,14,"29,200.00",2,M,1,F,3,2
115,3,15,725,1,M,2,M,2,3
116,3,16,"2,625.00",2,M,2,F,4,4
117,3,17,790,2,M,2,F,4,4
118,3,18,150,1,M,1,M,1,1
119,3,19,"17,810.00",1,F,2,F,2,3
120,3,20,"18,350.00",2,M,2,F,4,4
121,3,21,"9,900.00",2,F,2,F,4,4
122,3,22,206,1,F,1,F,1,1
123,3,23,"45,400.00",1,M,2,M,2,3
124,3,24,768,2,M,2,M,4,4
125,3,25,"5,325.00",1,F,2,M,2,3
126,3,26,134,1,M,1,F,1,1
127,3,27,"43,050.00",2,F,1,M,3,2
128,3,28,96,1,M,2,F,2,3
129,3,29,"8,200.00",1,F,1,M,1,1
130,3,30,"9,300.00",1,M,2,M,2,3
131,3,31,"37,070.00",2,M,2,F,4,4
132,3,32,"24,575.00",1,F,2,M,2,3
133,3,33,"15,400.00",1,M,2,F,2,3
134,3,34,"4,950.00",1,F,1,M,1,1
135,3,35,"9,500.00",1,F,1,M,1,1
136,3,36,"6,620.00",1,F,1,M,1,1
137,3,37,"2,179.00",1,F,1,F,1,1
138,3,38,"1,825.00",1,M,2,F,2,3
139,3,39,"5,640.00",1,M,2,F,2,3
140,3,40,"13,200.00",1,F,2,M,2,3
141,3,41,"5,460.00",1,M,2,F,2,3
142,3,42,"28,600.00",2,M,2,F,4,4
143,3,43,"24,680.00",2,M,2,F,4,4
144,3,44,"38,170.00",1,M,1,F,1,1
145,3,45,"10,405.00",2,F,2,M,4,4
146,3,46,34.25,1,M,1,F,1,1
147,3,47,"2,515.00",2,M,2,M,4,4
148,3,48,"24,550.00",1,F,1,F,1,1
149,3,49,"2,070.00",2,F,2,M,4,4
150,3,50,"20,360.00",1,F,1,M,1,1
151,3,51,"3,190.00",2,F,1,F,3,2
152,3,52,"26,370.00",1,F,1,F,1,1
153,3,53,"1,365.00",1,M,1,F,1,1
154,3,54,"3,200.00",1,M,1,F,1,1
155,3,55,86.5,1,F,1,F,1,1
156,3,56,369,2,F,2,F,4,4
157,3,57,"16,175.00",1,F,2,F,2,3
158,3,58,"2,710.00",2,M,2,F,4,4
159,3,59,"4,215.00",2,M,1,F,3,2
160,3,60,"1,950.00",1,F,2,M,2,3
161,3,61,"4,225.00",1,F,1,M,1,1
162,3,62,"14,074.00",2,F,1,F,3,2
163,3,63,"24,150.00",2,F,1,M,3,2
164,3,64,"3,715.00",1,M,1,M,1,1
165,3,65,"6,010.00",1,F,1,M,1,1
166,3,66,"2,112.50",1,F,1,M,1,1
167,3,67,"11,030.00",2,M,2,F,4,4
168,3,68,"2,440.00",2,M,2,F,4,4
169,3,69,"16,885.00",2,F,2,F,4,4
170,3,70,"29,050.00",1,F,1,M,1,1
171,3,71,392.5,2,F,1,F,3,2
172,3,72,"1,035.00",2,F,2,M,4,4
173,3,73,"92,330.00",2,M,2,M,4,4
174,3,74,"24,950.00",2,F,2,M,4,4
175,3,75,114.9,1,M,1,F,1,1
176,3,76,"9,950.00",2,F,1,F,3,2
177,3,77,30.4,2,M,1,M,3,2
178,3,78,"1,856.50",1,M,1,F,1,1
179,3,79,"2,225.00",2,M,2,M,4,4
180,3,80,"11,150.00",2,M,1,F,3,2
181,4,1,"30,645.00",2,M,2,F,4,4
182,4,2,,,,,,,
183,4,3,"28,350.00",2,F,1,F,3,2
184,4,4,"1,095.00",1,M,1,M,1,1
185,4,5,"4,300.00",2,F,2,F,4,4
186,4,6,"1,405.00",2,M,1,M,3,2
187,4,7,"9,290.00",1,M,1,M,1,1
188,4,8,"1,886.00",2,F,1,M,3,2
189,4,9,131,1,F,1,M,1,1
190,4,10,"9,400.00",1,F,1,M,1,1
191,4,11,"11,210.00",2,F,1,F,3,2
192,4,12,"1,500.80",1,M,1,M,1,1
193,4,13,"1,055.00",1,M,1,M,1,1
194,4,14,"77,100.00",1,F,2,F,2,3
195,4,15,"12,250.00",2,M,1,F,3,2
196,4,16,"3,317.00",2,M,1,F,3,2
197,4,17,"5,500.00",1,M,1,F,1,1
198,4,18,"3,720.00",1,M,1,M,1,1
199,4,19,"3,875.00",1,F,1,F,1,1
200,4,20,"10,665.00",2,M,2,F,4,4
201,4,21,"7,900.00",1,M,2,F,2,3
202,4,22,"57,550.00",1,M,1,F,1,1
203,4,23,"31,000.00",1,M,2,F,2,3
204,4,24,3.65,1,M,1,M,1,1
205,4,25,"11,150.00",1,F,1,M,1,1
206,4,26,"69,500.00",2,F,2,F,4,4
207,4,27,"22,650.00",1,M,2,F,2,3
208,4,28,975,2,F,2,M,4,4
209,4,29,"1,117.50",1,F,1,M,1,1
210,4,30,125.5,1,F,2,M,2,3
211,4,31,700.25,1,M,2,F,2,3
212,4,32,"11,055.00",1,F,1,M,1,1
213,4,33,"1,485.00",1,M,1,F,1,1
214,4,34,180.9,1,M,1,F,1,1
215,4,35,346,1,F,1,M,1,1
216,4,36,"6,600.00",2,F,2,F,4,4
217,4,37,"15,010.00",1,F,1,F,1,1
218,4,38,475,1,M,2,M,2,3
219,4,39,"1,950.00",2,F,2,M,4,4
220,4,40,"28,430.00",2,F,1,M,3,2
221,4,41,"62,630.00",2,F,2,F,4,4
222,4,42,"1,245.00",1,F,1,M,1,1
223,4,43,"1,358.00",2,M,1,F,3,2
224,4,44,"3,626.00",2,F,1,M,3,2
225,4,45,"18,875.00",1,M,1,F,1,1
226,4,46,45.13,1,M,2,F,2,3
227,4,47,"17,900.00",1,M,1,M,1,1
228,4,48,"3,810.00",2,M,2,M,4,4
229,4,49,"12,018.00",1,M,2,F,2,3
230,4,50,"18,615.00",2,M,1,F,3,2
231,4,51,"22,250.00",2,M,1,F,3,2
232,4,52,107.5,1,M,1,F,1,1
233,4,53,"43,950.00",2,M,2,F,4,4
234,4,54,692.5,2,F,2,M,4,4
235,5,1,"29,250.00",2,F,1,F,3,2
236,5,2,138,1,M,2,F,2,3
237,5,3,"38,250.00",2,M,2,F,4,4
238,5,4,74,1,F,1,M,1,1
239,5,5,"55,225.00",1,M,1,F,1,1
240,5,6,"21,060.00",2,M,2,F,4,4
241,5,7,"47,150.00",1,M,1,F,1,1
242,5,8,747.5,1,M,2,F,2,3
243,5,9,"4,500.00",1,F,1,M,1,1
244,5,10,81,1,M,1,F,1,1
245,5,11,"3,470.00",2,F,2,F,4,4
246,5,12,"4,200.00",2,F,1,M,3,2
247,5,13,2,2,F,1,M,3,2
248,5,14,"18,290.00",1,M,2,F,2,3
249,5,15,910,1,F,1,F,1,1
250,5,16,"17,650.00",1,F,1,F,1,1
251,5,17,"1,651.50",1,M,2,M,2,3
252,5,18,180.5,2,M,1,F,3,2
253,5,19,"12,650.00",2,F,2,F,4,4
254,5,20,"76,230.00",1,F,1,M,1,1
255,5,21,"1,840.00",1,F,1,M,1,1
256,5,22,"1,737.50",2,F,1,F,3,2
257,5,23,17.5,1,F,1,M,1,1
258,5,24,"7,510.00",2,F,1,F,3,2
259,5,25,"1,246.00",1,M,2,M,2,3
260,5,26,931,2,M,2,F,4,4
261,5,27,"6,500.00",2,F,1,F,3,2
262,5,28,"32,900.00",2,M,2,F,4,4
263,5,29,"16,775.00",2,M,1,F,3,2
264,5,30,"14,062.50",1,F,2,M,2,3
265,5,31,925,1,M,2,M,2,3
266,5,32,"3,820.00",2,F,2,M,4,4
267,5,33,"18,160.00",2,M,2,F,4,4
268,5,34,"35,750.00",1,M,1,M,1,1
269,5,35,"1,350.00",1,M,2,M,2,3
270,5,36,"3,100.00",1,F,2,F,2,3
271,5,37,"11,081.00",1,F,2,M,2,3
272,5,38,"47,700.00",1,F,2,M,2,3
273,5,39,"5,635.00",1,F,1,M,1,1
274,5,40,,,,,,,
275,5,41,"3,475.00",1,M,1,F,1,1
276,5,42,"76,265.00",1,F,2,M,2,3
277,5,43,"1,940.00",1,M,2,F,2,3
278,5,44,"23,650.00",1,M,2,F,2,3
279,5,45,157,1,F,1,M,1,1
280,5,46,"13,750.00",2,﻿F,2,﻿M,4,4
281,5,47,"1,050.00",1,M,2,F,2,3
282,5,48,"1,656.25",2,F,2,M,4,4
283,5,49,"33,500.00",1,F,2,M,2,3
284,5,50,650.2,2,M,1,M,3,2
285,5,51,"1,340.00",2,M,2,F,4,4
286,5,52,"2,057.50",2,M,2,F,4,4
287,5,53,600.08,1,F,2,F,2,3
288,5,54,"9,170.00",2,M,2,M,4,4
289,5,55,479,2,M,1,F,3,2